"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"North Western","Tuen Mun River","TN4","2024-02-15","1","2.8","<50","0.49","<0.05","<1","1","22","<1","1800","<0.1","39","10000","1.8","1","25000","3","<0.01","67","5.5","78000","null","0.7","<0.01","60","<1","90","<1","7","6","0.45","0.029","<0.5","0.049","7.3","<0.2","17","4.2","<1","<0.02","3.5","<1","0.85","5","0.08","30000","6700","2.4","2","20.1","40","32000"
"North Western","Tuen Mun River","TN4","2024-03-01","1","2","50","0.49","<0.05","<1","2","16","<1","3300","<0.1","29","15000","1.5","<1","31417","5","<0.01","76","6.3","22000","null","0.7","<0.01","<50","<1","30","<1","9","6","0.38","0.018","<0.5","0.028","7.6","<0.2","23.4","2.9","<1","<0.02","2.2","<1","0.58","6","0.18","39000","10000","1.8","3","17.2","10","5000"
"North Western","Tuen Mun River","TN4","2024-04-08","1","2.9","70","0.84","0.08","<1","2","27","<1","1600","<0.1","59","11000","3.4","2","28823","4","<0.01","69","5.1","58000","null","0.7","<0.01","<50","<1","160","<1","8","7","0.5","0.063","<0.5","0.071","7.7","0.5","17.7","3","<1","<0.02","3.8","<1","1.1","9","0.13","30000","7000","1.8","3","25.3","30","27000"
"North Western","Tuen Mun River","TN4","2024-05-03","1","2.7","<50","0.71","0.05","<1","<1","27","<1","540","<0.1","15","2600","1","<1","8292","1","<0.01","70","5.6","460000","null","0.5","<0.01","<50","<1","120","<1","5","2","0.9","0.1","<0.5","0.06","7.4","<0.2","4.6","9.7","<1","<0.02","2.8","<1","1.2","6","0.1","7100","2100","1.6","<2","24.9","<10","52000"
"North Western","Tuen Mun River","TN4","2024-06-22","1","1","<50","0.4","<0.05","<1","1","28","<1","750","<0.1","19","3600","19","<1","12101","2","<0.01","92","6.7","3200","null","0.5","<0.01","<50","<1","120","<1","4","2","0.62","0.066","<0.5","0.006","7.5","3.3","6.2","11","<1","<0.02","3.6","<1","0.76","3","0.05","11000","2000","1","<2","30","<10","1100"
"North Western","Tuen Mun River","TN4","2024-07-19","1","1.7","80","0.6","0.05","<1","1","32","<1","1100","<0.1","55","5600","1.3","2","16711","2","<0.01","73","5.4","210000","null","0.5","<0.01","60","<1","110","<1","6","3","0.54","0.048","<0.5","0.05","7.6","0.7","9.3","8.2","<1","<0.02","5.6","<1","0.68","3","0.1","15000","4400","3.9","<2","27.5","20","30000"
"North Western","Tuen Mun River","TN4","2024-08-02","1","0.9","<50","0.42","<0.05","<1","1","25","<1","780","<0.1","49","4000","0.5","1","14977","2","<0.01","72","5.3","120000","null","0.5","<0.01","<50","<1","80","<1","5","2","0.54","0.054","<0.5","0.058","7.3","<0.2","7.9","11","<1","<0.02","0.6","<1","0.69","4","0.08","15000","4600","1.3","<2","29.6","<10","36000"
"North Western","Tuen Mun River","TN4","2024-09-20","1","0.6","60","0.52","<0.05","<1","2","18","<1","3200","<0.1","78","21000","6.3","2","40879","5","<0.01","69","4.7","4700","null","0.8","<0.01","110","<1","60","<1","9","7","0.26","0.045","<0.5","0.098","7.7","4","23.9","4","<1","<0.02","4.7","<1","0.65","3","0.14","47000","13000","1.7","3","29.2","10","800"
"North Western","Tuen Mun River","TN4","2024-10-10","1","1.7","90","0.22","0.09","<1","1","18","<1","1900","<0.1","39","12000","17","2","29443","3","<0.01","129","9.2","17000","null","0.8","<0.01","<50","<1","40","<1","7","5","0.47","0.036","<0.5","0.083","8.1","10","17","9","<1","<0.02","13","<1","0.57","3","0.23","26000","4400","5.4","<2","28.2","<10","1600"
"North Western","Tuen Mun River","TN4","2024-11-11","1","1.4","210","0.24","0.08","<1","2","16","<1","2500","<0.1","43","18000","2.8","2","37463","5","<0.01","98","7","26000","null","0.8","<0.01","<50","<1","30","<1","9","7","0.37","0.038","<0.5","0.047","7.8","2.4","23.1","4.7","<1","<0.02","32","<1","0.72","7","0.25","39000","7100","13.9","2","26.2","<10","4700"
"North Western","Tuen Mun River","TN4","2024-12-06","1","9.3","<50","0.36","<0.05","<1","<1","25","<1","350","<0.1","28","2100","5.3","<1","5659","1","<0.01","111","9.4","100000","null","0.6","<0.01","<50","<1","60","<1","3","3","0.81","0.059","<0.5","0.021","7.7","4.9","3.2","13","<1","<0.02","19","<1","1.3","8","0.2","4800","850","4.8","<2","22.4","<10","17000"
"North Western","Tuen Mun River","TN5","2024-01-04","1","1.6","60","0.27","<0.05","<1","1","22","<1","1200","<0.1","32","12000","1.4","2","29166","4","<0.01","72","6","14000","null","0.7","<0.01","<50","<1","100","<1","8","6","0.23","0.024","<0.5","<0.002","7.4","1.5","20.7","4.4","<1","<0.02","1.8","<1","0.39","5","0.03","33000","8100","1.7","3","18.9","<10","5200"
"North Western","Tuen Mun River","TN5","2024-02-15","1","2.2","<50","0.43","<0.05","<1","1","18","<1","1900","<0.1","35","12000","2.3","1","28840","3","<0.01","73","5.8","8000","null","0.7","<0.01","<50","<1","60","<1","8","6","0.42","0.024","<0.5","0.044","7.5","<0.2","19.8","3.5","<1","<0.02","4.6","<1","0.8","4","0.08","29000","7100","2","3","20.4","<10","5900"
"North Western","Tuen Mun River","TN5","2024-03-01","1","2.7","<50","0.48","0.07","<1","2","16","<1","2000","<0.1","25","14000","1.6","<1","32679","4","<0.01","74","6.1","24000","null","0.7","<0.01","<50","<1","40","<1","9","6","0.38","0.017","<0.5","0.06","7.6","0.9","24.2","3","<1","<0.02","2.4","<1","0.63","6","0.74","38000","8700","1.9","3","17.6","10","5400"
"North Western","Tuen Mun River","TN5","2024-04-08","1","4.1","60","0.5","<0.05","<1","2","23","<1","1600","<0.1","55","12000","16","2","31960","5","<0.01","89","6.5","55000","null","0.7","<0.01","<50","<1","120","<1","8","7","0.5","0.06","<0.5","0.092","8","<0.2","19.8","2.3","<1","<0.02","1.7","<1","0.59","7","0.11","29000","6300","1.2","3","25.3","<10","6800"
"North Western","Tuen Mun River","TN5","2024-05-03","1","8.7","<50","0.73","<0.05","<1","1","28","<1","610","<0.1","11","2800","0.8","<1","9772","1","<0.01","69","5.5","1400000","null","0.5","<0.01","<50","<1","120","<1","5","2","0.83","0.098","<0.5","0.068","7.4","<0.2","5.5","9.2","<1","<0.02","6.4","<1","1.3","5","0.1","8700","2500","1.7","<2","25.1","<10","45000"
"North Western","Tuen Mun River","TN5","2024-06-22","1","0.6","<50","0.34","<0.05","<1","1","28","<1","760","<0.1","26","3800","21","<1","12447","2","<0.01","101","7.3","4200","null","0.5","<0.01","<50","<1","110","<1","4","3","0.63","0.069","<0.5","0.009","7.7","8.2","6.4","10","<1","<0.02","3.4","<1","0.73","3","0.08","9500","1900","1.4","<2","30.4","<10","1200"
"North Western","Tuen Mun River","TN5","2024-07-19","1","3.6","70","0.62","<0.05","<1","1","27","<1","940","<0.1","55","4800","1","2","14917","2","<0.01","75","5.7","300000","null","0.4","<0.01","70","<1","90","<1","6","3","0.54","0.048","<0.5","0.058","7.6","1.1","8.2","8.3","<1","<0.02","6.9","<1","0.82","3","0.11","13000","3600","4.2","<2","27.9","20","65000"
"North Western","Tuen Mun River","TN5","2024-08-02","1","1.8","<50","0.45","0.05","<1","1","26","<1","710","<0.1","52","4300","0.6","1","13876","2","<0.01","77","5.6","350000","null","0.5","<0.01","<50","<1","110","<1","5","2","0.52","0.06","<0.5","0.059","7.4","<0.2","7.2","11","<1","<0.02","1.1","<1","0.71","4","0.08","14000","5100","1.7","<2","29.9","<10","27000"
"North Western","Tuen Mun River","TN5","2024-09-20","1","<0.1","<50","0.5","0.06","<1","2","16","<1","3300","<0.1","83","20000","5.6","2","42844","5","<0.01","75","5","2200","null","0.8","<0.01","110","<1","40","<1","9","7","0.27","0.055","<0.5","0.1","7.8","2.6","24.9","3.4","<1","<0.02","7.3","<1","0.62","2","0.13","47000","13000","3","3","29.7","10","400"
"North Western","Tuen Mun River","TN5","2024-10-10","1","4.1","80","0.65","0.06","<1","1","23","<1","2200","<0.1","45","18000","7.8","1","32667","3","<0.01","95","6.8","62000","null","0.8","<0.01","<50","<1","110","<1","8","5","0.27","0.024","<0.5","0.16","8.1","2.9","19.7","5.9","<1","<0.02","11","<1","1.1","3","0.28","35000","5000","9.8","<2","26.5","<10","9000"
"North Western","Tuen Mun River","TN5","2024-11-11","1","4.3","240","0.36","0.09","<1","2","18","<1","2200","<0.1","31","16000","2.3","2","32857","4","<0.01","87","6.3","47000","null","0.8","<0.01","<50","<1","50","<1","8","6","0.37","0.037","<0.5","0.053","7.7","2.2","19.9","5.7","<1","<0.02","3.4","<1","0.53","4","0.16","33000","6300","3","2","26.4","<10","2500"
"North Western","Tuen Mun River","TN5","2024-12-06","1","3.9","80","0.67","<0.05","<1","1","22","<1","1100","<0.1","23","8100","4","<1","17252","2","<0.01","77","6.4","45000","null","0.7","<0.01","<50","<1","140","<1","5","4","0.56","0.036","<0.5","0.05","7.6","2.5","11","9.1","<1","<0.02","4.6","<1","0.97","4","0.13","17000","2900","1.7","<2","21.3","<10","24000"
"North Western","Tuen Mun River","TN6","2024-01-04","1","2.2","<50","0.25","0.11","<1","2","17","<1","1400","<0.1","49","14000","0.8","2","33790","4","<0.01","76","6.1","20000","null","0.8","<0.01","70","<1","60","<1","9","7","0.23","0.023","<0.5","0.011","7.2","0.6","24.4","3.5","<1","<0.02","1.6","<1","0.41","5","0.03","41000","13000","2.1","4","18.8","10","15000"
"North Western","Tuen Mun River","TN6","2024-02-15","1","1.5","<50","0.47","0.1","<1","1","21","<1","1700","<0.1","22","11000","1.6","1","26716","3","<0.01","75","6.1","27000","null","0.7","<0.01","<50","<1","70","<1","7","6","0.43","0.027","<0.5","0.036","7.2","<0.2","18.2","3.8","<1","<0.02","4.1","<1","0.99","4","0.07","29000","6500","1.5","3","20.2","10","13000"
"North Western","Tuen Mun River","TN6","2024-03-01","1","1.2","<50","0.43","0.07","<1","2","16","<1","3800","<0.1","17","16000","1.2","<1","34197","5","<0.01","77","6.4","11000","null","0.7","<0.01","<50","<1","50","<1","9","7","0.35","0.018","<0.5","0.031","7.5","<0.2","25.8","2.4","<1","<0.02","2.3","<1","0.5","5","0.25","40000","8000","1.5","4","17.1","20","4900"
"North Western","Tuen Mun River","TN6","2024-04-08","1","1.8","<50","0.31","0.05","<1","2","19","<1","1900","<0.1","31","14000","7.3","2","35255","5","<0.01","90","6.6","5700","null","0.7","<0.01","<50","<1","50","<1","10","9","0.56","0.037","<0.5","0.047","7.8","0.8","22.4","1.6","<1","<0.02","3","<1","0.59","4","0.12","36000","8300","2.2","3","24.7","<10","1200"
"North Western","Tuen Mun River","TN6","2024-05-03","1","5","<50","0.6","<0.05","<1","1","25","<1","970","<0.1","16","5300","1.2","<1","15505","2","<0.01","80","6.4","370000","null","0.5","<0.01","<50","<1","90","<1","5","3","0.78","0.1","<0.5","0.071","7.4","<0.2","9.1","7.5","<1","<0.02","2.8","<1","1.1","4","0.09","15000","4100","2.4","<2","24.5","10","22000"
"North Western","Tuen Mun River","TN6","2024-06-22","1","1.6","<50","0.043","<0.05","<1","2","20","<1","1000","<0.1","27","5300","22","<1","16784","2","<0.01","113","8.2","1400","null","0.4","<0.01","<50","<1","<10","<1","4","3","0.71","0.1","<0.5","0.027","7.9","10","9.1","7.8","<1","<0.02","5.2","<1","0.41","3","0.1","14000","2700","2.7","2","29","<10","340"
"North Western","Tuen Mun River","TN6","2024-07-19","1","2","80","0.62","<0.05","<1","2","20","<1","960","<0.1","50","4900","0.6","2","12155","2","<0.01","79","6.1","720000","null","0.4","<0.01","80","<1","40","<1","5","3","0.54","0.044","<0.5","0.034","7.2","0.7","6.7","6.3","<1","0.03","5.2","<1","0.86","3","0.1","14000","4100","7.5","2","26.8","10","150000"
"North Western","Tuen Mun River","TN6","2024-08-02","1","1","<50","0.7","<0.05","<1","2","23","<1","1000","<0.1","57","5200","1.2","1","16227","3","<0.01","81","6","36000","null","0.5","<0.01","<50","<1","60","<1","6","3","0.61","0.076","<0.5","0.095","7.1","0.2","8.8","9.7","<1","<0.02","1.4","<1","0.98","3","0.14","16000","5100","1.5","2","28.5","<10","6500"
"North Western","Tuen Mun River","TN6","2024-09-20","1","6.9","<50","0.32","<0.05","<1","2","15","<1","3400","<0.1","50","23000","4.7","2","42299","6","<0.01","84","5.7","450","null","0.8","<0.01","120","<1","30","<1","10","8","0.31","0.062","<0.5","0.055","7.5","0.8","25.3","3.1","<1","<0.02","10","<1","0.38","2","0.11","54000","14000","2.8","3","28.3","10","30"
"North Western","Tuen Mun River","TN6","2024-10-10","1","1.6","50","0.68","<0.05","<1","2","19","<1","2600","<0.1","43","21000","3.1","4","38268","4","<0.01","72","5.1","34000","null","0.8","<0.01","<50","<1","70","<1","9","5","0.17","0.026","<0.5","0.13","7.1","2.1","23.9","4.5","<1","<0.02","6.8","<1","0.8","2","0.21","39000","6000","3.8","<2","25.8","30","13000"
"North Western","Tuen Mun River","TN6","2024-11-11","1","1.5","100","0.41","0.2","<1","2","15","<1","2700","<0.1","25","20000","2.4","2","39776","5","<0.01","82","5.8","80000","null","0.8","<0.01","<50","<1","40","<1","10","7","0.26","0.055","<0.5","0.05","7.4","1.9","25.4","3.8","<1","<0.02","5.8","<1","0.52","3","0.2","41000","7300","7.6","3","25","10","7500"
"North Western","Tuen Mun River","TN6","2024-12-06","1","2.5","100","0.59","<0.05","<1","2","19","<1","2300","<0.1","25","19000","7.4","2","36047","4","<0.01","76","5.7","19000","null","0.8","<0.01","60","<1","60","<1","9","9","0.36","0.037","<0.5","0.056","7.5","6.6","24.3","4","<1","<0.02","5.8","<1","0.65","4","0.15","40000","7700","2.4","2","22","20","2500"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-01-12","1","<0.1","<50","0.022","<0.05","<1","<1","24","<1","<50","<0.1","2","27","3.5","<1","141","<1","<0.01","113","10.5","7700","0.211","<0.2","<0.01","<50","<1","20","<1","<2","1","0.56","0.027","<0.5","0.007","8.1","<0.2","0.1","17","<1","<0.02","1.6","<1","0.07","4","0.02","170","41","1","<2","19.3","<10","900"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-02-02","1","1.1","<50","0.011","<0.05","<1","<1","25","<1","<50","<0.1","6","14","3.8","<1","193","1","<0.01","128","11.2","8500","0.437","0.2","<0.01","<50","<1","10","<1","<2","1","1.3","0.016","<0.5","0.046","8.8","2.9","0.1","20","<1","<0.02","0.9","<1","0.1","3","0.06","130","90","1.3","<2","22","<10","4300"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-03-07","1","1.9","<50","0.039","<0.05","<1","<1","26","<1","<50","<0.1","<2","11","1.9","<1","154","<1","<0.01","109","10.1","3800","0.255","0.2","<0.01","<50","<1","20","<1","<2","<1","1.1","0.016","<0.5","0.045","7.8","1.4","0.1","17","<1","<0.02","0.8","<1","0.17","3","0.07","130","84","0.9","<2","19.1","<10","770"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-04-12","1","1.7","110","0.2","<0.05","<1","<1","26","<1","70","<0.1","10","240","3.6","<1","981","2","<0.01","130","10.4","8000","0.124","1.1","<0.01","80","<1","60","<1","<2","2","0.57","0.015","<0.5","0.046","8","3.4","0.5","18","<1","<0.02","1.7","<1","0.4","6","0.07","720","260","1.5","<2","26.2","40","510"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-05-29","1","<0.1","<50","0.026","<0.05","<1","<1","18","<1","<50","<0.1","5","<10","1.6","<1","171","1","<0.01","106","8.8","3300","2.176","<0.2","<0.01","90","<1","30","<1","<2","1","0.7","0.008","<0.5","0.075","7.6","1.6","0.1","16","<1","<0.02","4.1","<1","0.14","4","0.08","95","68","2.2","<2","24.3","<10","900"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-06-05","1","<2","<50","0.026","<0.05","<1","<1","19","<1","<50","<0.1","5","<10","2.5","<1","113","<1","<0.01","104","8.9","5800","0.507","<0.2","<0.01","70","<1","10","<1","<2","<1","0.74","0.012","<0.5","0.058","7.7","2","0.1","14","<1","<0.02","2","<1","0.17","1","0.06","130","87","1.7","<2","23.1","10","1900"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-07-12","1","2.7","<50","0.037","<0.05","<1","<1","17","<1","<50","<0.1","11","<10","5.1","<1","137","2","<0.01","113","8.9","170000","0.605","<0.2","<0.01","110","<1","<10","<1","<2","<1","0.53","0.014","<0.5","0.055","8.5","4.3","0.1","16","<1","<0.02","3.7","<1","0.29","3","0.07","180","86","3.3","<2","27.8","<10","31000"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-08-16","1","1.1","<50","0.044","<0.05","<1","<1","17","<1","<50","<0.1","10","<10","1.8","<1","113","<1","<0.01","106","8.5","7200","0.869","<0.2","<0.01","<50","<1","10","<1","<2","<1","0.7","0.007","<0.5","0.063","7.9","1.6","0.1","18","<1","<0.02","3","<1","0.14","2","0.07","150","92","2.6","<2","26.4","10","2200"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-09-09","1","0.9","<50","0.036","<0.05","<1","<1","13","<1","<50","<0.1","2","14","0.7","<1","88","2","<0.01","103","8.4","16000","1.997","<0.2","<0.01","<50","<1","20","<1","<2","<1","0.63","0.007","<0.5","0.11","7.5","0.8","0","19","<1","<0.02","2.8","<1","0.05","1","0.11","110","84","2.7","<2","26","<10","2600"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-10-17","1","<0.1","<50","0.014","<0.05","<1","<1","17","<1","<50","<0.1","3","<10","6.9","<1","117","<1","<0.01","120","9.8","7400","0.538","0.2","<0.01","<50","<1","<10","<1","<2","<1","0.51","0.013","<0.5","0.06","8.6","2.7","0.1","19","<1","<0.02","3.5","<1","0.08","1","0.07","120","3","0.6","<2","25.6","<10","1800"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-11-01","1","1.3","<50","0.033","<0.05","<1","<1","20","<1","<50","<0.1","3","13","4.8","<1","129","<1","<0.01","117","9.8","45000","0.254","0.2","<0.01","<50","<1","<10","<1","<2","<1","0.59","0.009","<0.5","0.061","8.4","3.8","0.1","20","<1","<0.02","2.4","<1","0.08","1","0.08","110","32","0.9","<2","24.3","<10","840"
"Tolo Harbour And Channel","Lam Tsuen River","TR12","2024-12-13","1","0.7","<50","0.061","<0.05","<1","<1","22","<1","<50","<0.1","7","19","1.8","<1","150","<1","<0.01","115","10.7","1400","0.447","0.2","<0.01","<50","<1","10","<1","<2","<1","0.58","0.009","<0.5","0.064","8.4","1.4","0.1","21","<1","<0.02","2.6","<1","0.12","2","0.07","140","60","1.1","<2","18.9","<10","530"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-01-12","1","<0.1","<50","0.014","<0.05","<1","<1","21","<1","<50","<0.1","<2","<10","0.7","<1","109","<1","<0.01","115","10.4","3200","0.528","<0.2","<0.01","<50","<1","20","<1","<2","1","0.57","0.024","<0.5","0.008","7.5","0.7","0.1","16","<1","<0.02","2.8","<1","<0.05","3","<0.02","120","21","0.6","<2","20.6","<10","90"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-02-02","1","0.6","<50","0.027","<0.05","<1","<1","23","<1","<50","<0.1","4","<10","0.9","<1","124","3","<0.01","111","9.4","2200","0.61","0.2","<0.01","<50","<1","20","<1","<2","<1","1.3","0.009","<0.5","0.037","7.6","0.4","0.1","20","<1","<0.02","1.5","<1","0.16","3","0.05","89","72","1.1","<2","23.2","<10","460"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-03-07","1","1","<50","0.041","<0.05","<1","<1","26","<1","<50","<0.1","3","<10","0.9","<1","117","<1","<0.01","104","9.5","18000","0.478","<0.2","<0.01","<50","<1","20","<1","<2","<1","1.1","0.005","<0.5","0.041","7.2","0.7","0.1","16","<1","<0.02","0.5","<1","0.08","2","0.06","86","14","0.7","<2","19.8","<10","150"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-04-12","1","1.2","<50","0.044","<0.05","<1","<1","24","<1","<50","<0.1","9","11","1.9","<1","145","1","<0.01","109","8.7","14000","0.067","0.2","<0.01","<50","<1","60","<1","<2","1","0.56","0.009","<0.5","0.047","7.1","1.4","0.1","17","<1","<0.02","2.3","<1","0.25","5","0.06","190","140","2.5","<2","27.3","<10","800"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-05-29","1","<0.1","<50","0.036","<0.05","<1","<1","16","<1","<50","<0.1","6","18","0.9","<1","145","<1","<0.01","109","8.7","1500","1.134","<0.2","<0.01","<50","<1","10","<1","<2","<1","0.65","0.004","<0.5","0.053","7.1","0.4","0.1","16","<1","<0.02","2.2","<1","0.09","3","0.06","74","40","2.5","<2","27.3","<10","450"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-06-05","1","<2","<50","0.034","<0.05","<1","<1","16","<1","<50","<0.1","4","<10","1.1","<1","76","<1","<0.01","102","8.7","3400","1.206","<0.2","<0.01","<50","<1","10","<1","<2","<1","0.62","0.006","<0.5","0.05","7.3","1","0","17","<1","<0.02","1.2","<1","<0.05","<1","0.05","100","80","1.1","<2","23.3","<10","590"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-07-12","1","0.2","<50","0.032","<0.05","<1","<1","16","<1","<50","<0.1","5","<10","2.2","<1","91","1","<0.01","111","8.5","30000","1.168","<0.2","<0.01","<50","<1","10","<1","<2","<1","0.45","0.004","<0.5","0.057","7.7","2","0","17","<1","<0.02","1.2","<1","0.15","1","0.07","140","56","1.2","<2","29.3","<10","3300"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-08-16","1","0.5","<50","0.043","<0.05","<1","<1","13","<1","<50","<0.1","6","<10","1.1","<1","83","<1","<0.01","103","8.2","2000","0.924","<0.2","<0.01","<50","<1","30","<1","<2","<1","0.59","0.003","<0.5","0.068","7.2","0.9","0","17","<1","<0.02","1.4","<1","0.07","1","0.07","110","64","1.5","<2","27.4","20","560"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-09-09","1","1","<50","0.024","<0.05","<1","<1","12","<1","<50","<0.1","3","<10","0.7","<1","66","<1","<0.01","100","8","4800","2.172","<0.2","<0.01","<50","<1","30","<1","<2","<1","0.62","0.006","<0.5","0.059","7","0.7","0","18","<1","<0.02","1.3","<1","<0.05","<1","0.06","100","91","2.1","<2","27","<10","650"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-10-17","1","<0.1","<50","0.02","0.06","<1","<1","14","<1","<50","<0.1","2","<10","1.7","<1","81","<1","<0.01","111","8.9","5000","0.077","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.46","0.006","<0.5","0.066","7.5","1.2","0","19","<1","<0.02","3","<1","0.1","<1","0.09","86","22","0.7","<2","26.7","10","1900"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-11-01","1","0.5","<50","0.027","<0.05","<1","<1","16","<1","<50","<0.1","2","<10","0.8","<1","92","<1","<0.01","108","8.9","9000","0.68","0.2","<0.01","<50","<1","10","<1","<2","<1","0.55","0.005","<0.5","0.1","7.5","0.7","0","20","<1","<0.02","1.7","<1","<0.05","<1","0.11","94","42","0.7","<2","25.4","<10","400"
"Tolo Harbour And Channel","Lam Tsuen River","TR12B","2024-12-13","1","0.4","<50","0.049","<0.05","<1","<1","19","<1","<50","<0.1","2","<10","0.5","<1","117","<1","<0.01","109","10.1","1700","0.233","0.2","<0.01","<50","<1","20","<1","<2","<1","0.59","0.005","<0.5","0.088","7.6","0.5","0.1","20","<1","<0.02","0.9","<1","0.09","1","0.1","87","38","2.6","<2","19.4","<10","570"
"Tolo Harbour And Channel","Lam Tsuen River","TR12C","2024-01-12","1","1.5","<50","0.13","<0.05","<1","<1","26","<1","<50","<0.1","5","10","1.4","<1","230","<1","<0.01","103","9.4","4800","0.115","<0.2","<0.01","100","<1","20","<1","<2","1","0.58","0.012","<0.5","0.008","7.7","1","0.1","20","<1","<0.02","22","<1","0.23","5","0.04","200","45","2","<2","19.7","<10","1900"
"Tolo Harbour And Channel","Lam Tsuen River","TR12C","2024-02-02","1","2.6","<50","0.2","<0.05","<1","<1","31","<1","<50","<0.1","7","12","1.8","<1","186","3","<0.01","102","8.8","10000","0.038","0.2","<0.01","70","<1","30","<1","<2","1","1.4","0.029","<0.5","0.052","7.6","1.4","0.1","21","<1","<0.02","10","<1","0.42","6","0.09","130","90","1.5","<2","22.5","<10","4600"
"Tolo Harbour And Channel","Lam Tsuen River","TR12C","2024-03-07","1","3.7","<50","0.3","<0.05","<1","<1","29","<1","<50","<0.1","16","11","17","<1","189","1","<0.01","93","8.5","27000","0.03","0.2","<0.01","<50","<1","60","<1","<2","<1","1.4","0.038","<0.5","0.065","7","13","0.1","17","<1","<0.02","8.2","<1","1","5","0.23","180","31","2.2","<2","19.5","20","4900"
"Tolo Harbour And Channel","Lam Tsuen River","TR12C","2024-04-12","1","1.8","<50","0.43","<0.05","<1","<1","36","<1","<50","<0.1","13","23","4.9","<1","252","1","<0.01","95","7.6","38000","0.036","0.2","<0.01","120","<1","100","<1","<2","2","0.9","0.036","<0.5","0.06","7.2","4.7","0.1","14","<1","<0.02","11","<1","0.72","11","0.15","320","110","2.6","<2","27","<10","15000"
"Tolo Harbour And Channel","Lam Tsuen River","TR12C","2024-05-29","1","<0.1","<50","0.053","<0.05","<1","<1","26","<1","<50","<0.1","7","<10","0.9","<1","102","<1","<0.01","103","8.7","3300","0.17","<0.2","<0.01","170","<1","40","<1","<2","<1","0.7","0.011","<0.5","0.074","7.5","0.7","0.1","19","<1","<0.02","3.5","<1","0.26","7","0.08","170","110","2.7","<2","23.9","10","1400"
"Tolo Harbour And Channel","Lam Tsuen River","TR12C","2024-06-05","1","<2","<50","0.058","<0.05","<1","<1","24","<1","<50","<0.1","7","25","0.7","<1","162","<1","<0.01","100","8.5","9000","0.163","<0.2","<0.01","260","<1","50","<1","<2","<1","0.33","0.006","<0.5","0.023","7.5","0.7","0.1","7.5","<1","<0.02","0.9","<1","0.22","2","0.08","140","66","2.3","<2","23.6","<10","2200"
